nameGiven,starting_year,starting_team,ending_year,ending_team
Kirk Edward,1985,CAL,1996,CHA
Mariano,1985,LAN,1997,NYA
Teodoro Valenzuela,1985,ML4,1994,ML4
Roger Alan,1985,NYN,1996,BAL
Timothy Dean,1985,OAK,1990,CIN
Vincent Maurice,1985,SLN,1997,DET
Paul Andre,1986,ATL,1999,CLE
Edward R.,1986,ATL,1988,ATL
Robert Clifford,1986,ATL,1986,ATL
Charles Edward,1986,CAL,2002,CLE
Wallace Keith,1986,CAL,2001,ANA
Roberto Martin Antonio,1986,CHA,2001,SLN
Ronald Joseph,1986,CHA,1997,CHA
Joel Jacob,1986,CHA,1987,CHA
Robert Thomas,1986,CHA,1994,SEA
Joseph Michael,1986,CHN,1986,CHN
Jamie,1986,CHN,2012,COL
Kalvoski,1986,CIN,1992,LAN
Tracy Donald,1986,CIN,1991,SEA
Barry Louis,1986,CIN,2004,CIN
Kurt Andrew,1986,CIN,1996,TEX
Andrew Neal,1986,CLE,1995,CAL
Scott Alan,1986,CLE,1998,TEX
James Cory,1986,CLE,1994,LAN
Forest Gregory,1986,CLE,2002,ARI
Eric Steven,1986,DET,1992,DET
Michael Scott,1986,KCA,1995,NYA
Michael Scott,1986,KCA,1996,PIT
Jeffrey Robert,1986,LAN,1991,LAN
Christopher Louis,1986,ML4,1996,SEA
Glenn Erick,1986,ML4,1992,CIN
Bryan Richard,1986,ML4,1989,ML4
Juan Manuel,1986,ML4,1988,ML4
Daniel Thomas,1986,ML4,2003,PHI
Dale Curtis,1986,ML4,1999,PIT
Luis Antonio,1986,MON,1998,KCA
Douglas Dean,1986,NYA,1998,BAL
Kevin Daniel,1986,NYN,2000,LAN
Edward John,1986,NYN,1988,KCA
Mark David,1986,OAK,2001,SLN
William Craig,1986,OAK,1986,OAK
Eric Vaughn,1986,OAK,1999,MIL
Michael Ray,1986,PHI,2004,CHA
Michael Ausley,1986,PHI,2000,HOU
Barry Lamar,1986,PIT,2007,SFN
John Martin,1986,SDN,1995,CHA
Leon Joseph,1986,SDN,1998,DET
Michael Peter,1986,SFN,1996,CAL
William Nuschler,1986,SFN,2000,BAL
Kelly Robert,1986,SFN,1993,OAK
Randy Scott,1986,SFN,1990,BOS
Robert Randall,1986,SFN,1996,SFN
Gregory Inman,1986,SLN,1992,PHI
John Daniel,1986,SLN,1992,CAL
Peter Joseph,1986,TEX,1998,DET
Peter Joseph,1986,TEX,1998,HOU
Robert Andrew,1986,TEX,2001,ARI
Jeffrey Joseph,1986,TOR,1990,NYN
Jeffrey Michael,1987,ATL,1999,CHN
Thomas Michael,1987,ATL,2008,ATL
William Oliver,1987,BAL,1998,DET
Mark Alan,1987,BAL,1994,BAL
Ellis Rena,1987,BOS,2004,BOS
Lester Wayne,1987,CHN,1993,SLN
Terence Roy,1987,CIN,1994,SLN
Thomas Lee,1987,CLE,1989,CLE
Michael Alan,1987,DET,1996,TEX
Jeffrey Mark,1987,DET,1992,TEX
Kenneth Gene,1987,HOU,2001,TEX
John Kirk,1987,KCA,1990,CHA
Shawn Patrick,1987,LAN,1993,OAK
Tracy Michael,1987,LAN,1993,SLN
William James,1987,ML4,2005,BAL
Randy Lee,1987,NYA,2002,OAK
Gregory James,1987,OAK,1998,TEX
Luis Andrew,1987,OAK,2000,DET
Wallace Reid,1987,PHI,1992,PHI
