teamID,yearID,cumulative_sum_millions
FLO,2001,263
FLO,2002,305
FLO,2003,354
FLO,2004,396
FLO,2005,457
FLO,2006,471
FLO,2007,502
FLO,2008,524
FLO,2009,561
FLO,2010,618
FLO,2011,675
HOU,1985,9
HOU,1986,19
HOU,1987,32
HOU,1988,44
HOU,1989,59
HOU,1990,78
HOU,1991,90
HOU,1992,106
HOU,1993,136
HOU,1994,169
HOU,1995,203
HOU,1996,232
HOU,1997,267
HOU,1998,309
HOU,1999,364
HOU,2000,415
HOU,2001,476
HOU,2002,539
HOU,2003,610
HOU,2004,686
HOU,2005,763
HOU,2006,851
HOU,2007,939
HOU,2008,1028
HOU,2009,1131
HOU,2010,1223
HOU,2011,1294
HOU,2012,1355
HOU,2013,1372
HOU,2014,1408
KCA,1985,9
KCA,1986,22
KCA,1987,34
KCA,1988,48
KCA,1989,67
KCA,1990,90
KCA,1991,117
KCA,1992,151
KCA,1993,192
KCA,1994,232
KCA,1995,262
KCA,1996,282
KCA,1997,317
KCA,1998,354
KCA,1999,380
KCA,2000,403
KCA,2001,439
KCA,2002,486
KCA,2003,527
KCA,2004,574
KCA,2005,611
KCA,2006,658
KCA,2007,725
KCA,2008,784
KCA,2009,854
KCA,2010,926
KCA,2011,961
KCA,2012,1022
KCA,2013,1102
KCA,2014,1177
LAA,2005,94
LAA,2006,198
LAA,2007,307
LAA,2008,426
LAA,2009,540
LAA,2010,645
LAA,2011,784
LAA,2012,938
LAA,2013,1062
LAA,2014,1184
LAN,1985,10
LAN,1986,25
LAN,1987,39
LAN,1988,56
LAN,1989,77
LAN,1990,98
LAN,1991,131
LAN,1992,176
LAN,1993,215
LAN,1994,253
LAN,1995,292
LAN,1996,328
LAN,1997,373
LAN,1998,422
LAN,1999,503
LAN,2000,591
LAN,2001,700
LAN,2002,795
LAN,2003,900
LAN,2004,993
LAN,2005,1076
LAN,2006,1175
LAN,2007,1283
LAN,2008,1402
LAN,2009,1502
LAN,2010,1598
LAN,2011,1702
LAN,2012,1797
LAN,2013,2020
LAN,2014,2237
MIA,2012,118
MIA,2013,151
MIA,2014,193
MIL,1998,33
MIL,1999,77
MIL,2000,113
MIL,2001,157
MIL,2002,207
MIL,2003,248
MIL,2004,276
MIL,2005,316
MIL,2006,373
MIL,2007,444
MIL,2008,525
MIL,2009,605
MIL,2010,686
MIL,2011,772
MIL,2012,869
MIL,2013,946
MIL,2014,1048
MIN,1985,5
MIN,1986,14
MIN,1987,20
MIN,1988,33
MIN,1989,48
MIN,1990,63
MIN,1991,86
MIN,1992,114
MIN,1993,143
MIN,1994,171
MIN,1995,196
MIN,1996,220
MIN,1997,254
MIN,1998,282
MIN,1999,303
MIN,2000,319
MIN,2001,343
MIN,2002,384
MIN,2003,439
MIN,2004,493
MIN,2005,549
MIN,2006,613
MIN,2007,684
MIN,2008,741
MIN,2009,806
MIN,2010,904
MIN,2011,1017
MIN,2012,1111
MIN,2013,1186
MIN,2014,1270
ML4,1985,11
ML4,1986,21
ML4,1987,28
ML4,1988,36
ML4,1989,48
ML4,1990,68
ML4,1991,91
ML4,1992,122
ML4,1993,146
ML4,1994,170
ML4,1995,188
ML4,1996,209
ML4,1997,233
MON,1985,9
MON,1986,20
MON,1987,27
MON,1988,37
MON,1989,50
MON,1990,67
MON,1991,78
MON,1992,94
MON,1993,112
MON,1994,132
MON,1995,144
MON,1996,160
MON,1997,179
MON,1998,190
MON,1999,208
MON,2000,241
MON,2001,276
MON,2002,315
MON,2003,367
MON,2004,408
NYA,1985,14
NYA,1986,32
NYA,1987,49
NYA,1988,69
NYA,1989,86
NYA,1990,107
NYA,1991,134
NYA,1992,172
NYA,1993,214
NYA,1994,260
NYA,1995,309
NYA,1996,363
NYA,1997,425
NYA,1998,492
NYA,1999,579
NYA,2000,671
NYA,2001,784
NYA,2002,909
NYA,2003,1062
NYA,2004,1246
NYA,2005,1455
NYA,2006,1649
NYA,2007,1839
NYA,2008,2047
NYA,2009,2248
NYA,2010,2454
NYA,2011,2657
NYA,2012,2853
NYA,2013,3085
NYA,2014,3283
NYM,2014,54
